pickup_datetime,pickup_zone_id,dropoff_zone_id,trip_distance,trip_duration_min,fare_amount
2023-02-01 06:50:00,101,205,1.9,9,11.60
2023-02-01 07:30:00,102,201,5.2,24,24.90
2023-02-02 09:40:00,103,208,2.4,12,13.80
2023-02-03 12:15:00,104,209,7.8,34,33.40
2023-02-04 13:05:00,105,207,2.6,11,12.40
2023-02-05 15:45:00,106,204,6.1,28,29.70
2023-02-06 16:20:00,101,206,3.7,17,18.90
2023-02-07 18:35:00,102,205,120.0,65,140.00
2023-02-08 19:10:00,103,201,4.2,18,19.30
2023-02-14 08:25:00,104,202,9.1,39,41.20
2023-02-20 21:40:00,105,208,5.8,26,
2023-02-24 23:15:00,106,207,11.5,55,50.60
