pickup_datetime,pickup_zone_id,dropoff_zone_id,trip_distance,trip_duration_min,fare_amount
2023-03-01 07:00:00,101,205,2.3,10,12.90
2023-03-01 08:10:00,102,201,4.9,22,23.30
2023-03-02 09:35:00,103,208,1.5,7,8.70
2023-03-03 11:50:00,104,209,8.0,33,34.10
2023-03-04 12:20:00,105,207,2.7,12,13.10
2023-03-05 14:45:00,106,204,6.0,27,28.50
2023-03-06 16:05:00,101,206,3.4,16,17.60
2023-03-07 17:30:00,102,205,4.1,19,20.20
2023-03-08 18:55:00,103,201,2.8,13,14.40
2023-03-10 20:15:00,104,202,9.8,42,43.80
2023-03-14 21:05:00,105,208,5.6,25,27.10
2023-03-22 22:45:00,106,207,10.9,52,48.40
